
"model-based estimates of unemployment"
"ONS Crown Copyright Reserved [from Nomis on 20 April 2026]"
"Analysis   :","standard"
"Item Name  :","Unemployment rate (model based)"
"Confidence :","95% confidence interval (+/-)"

"Area","mnemonic","Apr 2022-Mar 2023","Conf","Jul 2022-Jun 2023","Conf","Oct 2022-Sep 2023","Conf","Jan 2023-Dec 2023","Conf","Apr 2023-Mar 2024","Conf"

"ladu2023:Barking and Dagenham","E09000002",4.8,1.8,5.5,1.8,6.8,2.1,6.8,2.0,7.0,2.1
"ladu2023:Barnet","E09000003",5.1,1.8,5.7,2.0,5.5,1.9,5.4,1.7,4.9,1.7
"ladu2023:Bexley","E09000004",2.8,1.1,3.0,1.1,4.1,1.4,4.9,1.5,4.9,1.5
"ladu2023:Brent","E09000005",6.8,2.7,7.3,3.1,6.7,2.9,5.7,2.3,5.6,2.3
"ladu2023:Bromley","E09000006",3.1,1.2,4.0,1.3,4.9,1.5,5.0,1.4,5.6,1.6
"ladu2023:Camden","E09000007",3.2,1.5,4.0,1.7,4.3,1.8,4.9,1.8,6.6,2.3
"ladu2023:City of London","E09000001",-,-,-,-,-,-,-,-,-,-
"ladu2023:Croydon","E09000008",5.4,1.7,5.7,1.7,5.5,1.7,5.3,1.5,4.7,1.5
"ladu2023:Ealing","E09000009",5.3,1.9,5.8,2.1,5.0,1.9,4.9,1.9,4.4,1.8
"ladu2023:Enfield","E09000010",5.8,2.0,5.5,2.0,6.3,2.4,5.6,1.8,5.2,1.8
"ladu2023:Greenwich","E09000011",4.5,1.5,4.7,1.5,4.5,1.4,4.4,1.3,4.2,1.3
"ladu2023:Hackney","E09000012",5.2,2.0,4.3,1.7,4.1,1.7,3.8,1.5,4.1,1.7
"ladu2023:Hammersmith and Fulham","E09000013",3.4,1.5,3.9,1.7,4.8,2.0,4.8,1.8,5.3,1.9
"ladu2023:Haringey","E09000014",4.8,1.7,4.4,1.6,4.3,1.6,4.4,1.6,4.8,1.8
"ladu2023:Harrow","E09000015",4.8,1.8,5.1,1.8,4.8,1.8,4.7,1.6,4.1,1.6
"ladu2023:Havering","E09000016",3.0,1.1,3.5,1.3,4.3,1.4,4.4,1.4,4.2,1.3
"ladu2023:Hillingdon","E09000017",4.0,1.6,5.1,1.8,6.9,2.4,7.0,2.4,6.8,2.4
"ladu2023:Hounslow","E09000018",5.1,1.8,4.5,1.6,4.7,1.8,4.4,1.6,4.6,1.7
"ladu2023:Islington","E09000019",3.0,1.4,4.1,1.7,4.4,1.8,5.0,1.8,5.8,1.9
"ladu2023:Kensington and Chelsea","E09000020",3.7,1.8,4.7,2.1,4.9,2.1,5.9,2.2,5.8,2.0
"ladu2023:Kingston upon Thames","E09000021",2.3,0.9,2.9,1.0,3.6,1.2,4.6,1.4,5.4,1.7
"ladu2023:Lambeth","E09000022",4.0,1.5,3.9,1.5,3.8,1.5,4.4,1.7,4.3,1.7
"ladu2023:Lewisham","E09000023",4.7,1.7,4.7,1.8,4.6,1.8,4.9,1.9,4.8,1.8
"ladu2023:Merton","E09000024",3.2,1.2,4.2,1.4,4.8,1.7,5.3,1.8,4.5,1.5
"ladu2023:Newham","E09000025",5.3,1.9,4.7,1.8,5.2,2.0,5.0,1.9,4.9,1.9
"ladu2023:Redbridge","E09000026",4.8,1.6,5.1,1.6,5.0,1.6,5.5,1.6,5.3,1.7
"ladu2023:Richmond upon Thames","E09000027",2.7,1.0,3.3,1.1,3.9,1.2,4.5,1.4,5.5,1.8
"ladu2023:Southwark","E09000028",4.6,1.7,4.1,1.5,3.9,1.5,3.9,1.5,4.1,1.6
"ladu2023:Sutton","E09000029",3.1,1.2,3.8,1.3,4.6,1.4,4.7,1.4,5.7,1.8
"ladu2023:Tower Hamlets","E09000030",4.2,1.9,5.2,2.2,5.8,2.2,6.3,2.2,6.5,2.2
"ladu2023:Waltham Forest","E09000031",6.0,1.9,6.6,2.1,5.5,1.8,5.3,1.7,4.5,1.5
"ladu2023:Wandsworth","E09000032",2.4,1.1,2.9,1.2,3.4,1.4,4.0,1.5,4.6,1.6
"ladu2023:Westminster","E09000033",3.1,1.5,3.7,1.7,4.6,2.0,5.0,2.0,5.7,2.1
"country:England","E92000001",3.7,0.2,3.8,0.2,3.8,0.2,3.7,0.2,3.9,0.2
"gor:London","E12000007",4.3,0.5,4.6,0.6,4.8,0.6,5.0,0.6,5.1,0.6



"-","These figures are missing."

"","Unemployment estimates for local authority areas except county councils are"
"","model-based."
"","Estimates for other geography types are not model-based and are taken"
"","directly from"
"","the Annual Population Survey dataset."
"",""

